Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"James Hannington, Bishop and Companions, Martyrs, 1885 [6] Red (translated from 29 October)",30/10/2007,,,,TRUE,,3
Wednesday of Pentecost 22,31/10/2007,,,,TRUE,,3
ALL SAINTS [2] White,01/11/2007,,,,TRUE,,3
"All Souls [5] Violet or White (Ordination of the Bishop of Edinburgh, 1993)",02/11/2007,,,,TRUE,,3
"Richard Hooker, Priest and Teacher of the Faith, 1660 [6] White",03/11/2007,,,,TRUE,,3
Pentecost 23 [3] Green / SPB Trinity 22 (Fourth Sunday before Advent),04/11/2007,,,,TRUE,,3
Monday of Pentecost 23,05/11/2007,,,,TRUE,,3
Tuesday of Pentecost 23,06/11/2007,,,,TRUE,,3
"Willibrord, Bishop and Missionary, 739 [6] White",07/11/2007,,,,TRUE,,3
Thursday of Pentecost 23,08/11/2007,,,,TRUE,,3
"George Hay Forbes, Priest, 1875 [6] White",09/11/2007,,,,TRUE,,3
"Leo the Great, Bishop and Teacher of the Faith, 461 [6] White",10/11/2007,,,,TRUE,,3
Pentecost 24 [3] Green / SPB Trinity 23 (Third Sunday before Advent),11/11/2007,,,,TRUE,,3
"Machar, Bishop, c.600 [6] White",12/11/2007,,,,TRUE,,3
"Martin of Tours, Bishop, c.397 [6] White (translated from 11 November)",13/11/2007,,,,TRUE,,3
"Wednesday of Pentecost 24 (Ordination of Samuel Seabury, Bishop, 1784)",14/11/2007,,,,TRUE,,3
Thursday of Pentecost 24,15/11/2007,,,,TRUE,,3
"Margaret of Scotland, 1093 [4] White",16/11/2007,,,,TRUE,,3
"Hilda of Whitby, 680 and Hugh of Lincoln, Bishop, 1200 [6] White",17/11/2007,,,,TRUE,,3
Pentecost 25 [3] Green / SPB Trinity 24 (Second Sunday before Advent),18/11/2007,,,,TRUE,,3
