date,feast,colour
03/11/2013,Pentecost 24 [3] Green; SPB Trinity 23,green
04/11/2013,"Richard Hooker, Priest and Teacher of the Faith, 1660 [6] White (translated from 03 November)",white
05/11/2013,Tuesday after Pentecost 24,green
06/11/2013,Wednesday after Pentecost 24,green
07/11/2013,"Willibrord, Bishop and Missionary, 739 [6] White",white
08/11/2013,Friday after Pentecost 24,green
09/11/2013,"George Hay Forbes, Priest, 1875 [6] White",white
10/11/2013,Remembrance Sunday (Pentecost 25 [3] Green; SPB Trinity 24),green
11/11/2013,"Martin of Tours, Bishop, c.397 [6] White",white
12/11/2013,"Machar, Bishop, c.600 [6] White",white
13/11/2013,"Leo the Great, Bishop and Teacher of the Faith, 461 [6] White (translated from 10 November)",white
14/11/2013,"Thursday after Pentecost 25 (Ordination of Samuel Seabury, Bishop, 1784)",green
15/11/2013,Friday after Pentecost 25,green
16/11/2013,"Margaret of Scotland, 1093 [4] White",white
17/11/2013,Pentecost 26 [3] Green; SPB Trinity 25,green
18/11/2013,"Fergus, Bishop, c.750 [6] White",white
19/11/2013,"Hilda of Whitby, 680 and Hugh of Lincoln, Bishop, 1200 [6] White (translated from 17 November)",white
20/11/2013,Wednesday after Pentecost 26,green
21/11/2013,"Columban, Bishop, 615 [6] White",white
22/11/2013,"Cecilia, Martyr, c.230 [6] White",white
23/11/2013,"Clement of Rome, Bishop and Martyr, c.100 [6] Red",red
24/11/2013,The Last Sunday after Pentecost (Christ the King) [3] White or Red (The Sunday before Advent),white
25/11/2013,"Lucy Menzies, 1954 [6] White (translated from 24 November)",white
26/11/2013,Tuesday after the Last Sunday after Pentecost,green
27/11/2013,Wednesday after the Last Sunday after Pentecost,green
28/11/2013,Thursday after the Last Sunday after Pentecost,green
29/11/2013,Friday after the Last Sunday after Pentecost,green
30/11/2013,"Andrew, Apostle, Patron of Scotland [4] Red",red
